section_id,course_id,name,status,start_date,end_date,integration_id
20262020001,202620EN100BA20001,EN 100B A,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020001
20262020002,202620EN100BB20002,EN 100B B,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020002
20262020003,202620EN101A20003,EN 101 A,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020003
20262020004,202620EN101B20004,EN 101 B,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020004
20262020005,202620EN1010120005,EN 101 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020005
20262020006,202620EN1010220006,EN 101 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020006
20262020007,202620EN1010320007,EN 101 03,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020007
20262020008,202620EN1010420008,EN 101 04,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020008
20262020009,202620EN1020120009,EN 102 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020009
20262020010,202620EN1020220010,EN 102 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020010
20262020011,202620MU3320120011,MU 332 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020011
20262020012,202620MU1420120012,MU 142 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020012
20262020013,202620MU1070120013,MU 107 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020013
20262020014,202620MU1200120014,MU 120 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020014
20262020015,202620MU1220120015,MU 122 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020015
20262020016,202620MU1220220016,MU 122 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020016
20262020017,202620MU2220120017,MU 222 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020017
20262020018,202620MU1070220018,MU 107 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020018
20262020019,202620MU1420220019,MU 142 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020019
20262020020,202620MU3460120020,MU 346 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020020
20262020021,202620MU347E0120021,MU 347 E01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020021
20262020022,202620BA2050120022,BA 205 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020022
20262020023,202620BA2120220023,BA 212 02,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020023
20262020024,202620BA2120120024,BA 212 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020024
20262020025,202620BA3310120025,BA 331 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020025
20262020026,202620BA416E0120026,BA 416 E01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020026
20262020027,202620BA214E0120027,BA 214 E01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020027
20262020028,202620BA3730120028,BA 373 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020028
20262020029,202620BA4700120029,BA 470 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020029
20262020030,202620EN1020320030,EN 102 03,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020030
20262020031,202620BA3430120031,BA 343 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020031
20262020032,202620EN1020420032,EN 102 04,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020032
20262020033,202620BA3060120033,BA 306 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020033
20262020034,202620EN1020520034,EN 102 05,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020034
20262020035,202620EN1020620035,EN 102 06,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020035
20262020036,202620BA4510120036,BA 451 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020036
20262020037,202620EN1020720037,EN 102 07,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020037
20262020038,202620BA3160120038,BA 316 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020038
20262020039,202620BA318E0120039,BA 318 E01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020039
20262020040,202620EN1020820040,EN 102 08,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020040
20262020041,202620OMP350E0120041,OMP 350 E01,active,2026-01-12T05:00:00Z,2026-02-13T05:00:00Z,20262020041
20262020042,202620OMP360E0120042,OMP 360 E01,active,2026-01-12T05:00:00Z,2026-02-13T05:00:00Z,20262020042
20262020043,202620OMP370E0120043,OMP 370 E01,active,2026-01-12T05:00:00Z,2026-02-13T05:00:00Z,20262020043
20262020044,202620OMP380E0120044,OMP 380 E01,active,2026-02-16T05:00:00Z,2026-03-27T05:00:00Z,20262020044
20262020045,202620EN2020120045,EN 202 01,active,2026-01-12T05:00:00Z,2026-05-08T05:00:00Z,20262020045
20262020046,202620OMP450E0120046,OMP 450 E01,active,2026-02-16T05:00:00Z,2026-03-27T05:00:00Z,20262020046
