section_id,user_id,role,status
20262020001,202300396,student,active
20262020001,202313696,student,active
20262020001,V00148014,student,active
20262020001,V00149647,student,active
20262020001,V00150302,student,active
20262020001,V00150586,student,active
20262020001,V00150701,student,active
20262020001,V00150820,student,active
20262020001,V00150822,student,active
20262020001,V00150824,student,active
20262020001,V00150825,student,active
20262020001,V00150826,student,active
20262020001,V00150851,student,active
20262020001,V00151132,student,active
20262020001,199900136,teacher,active
20262020002,200403063,student,active
20262020002,202103092,student,active
20262020002,202404532,student,active
20262020002,202500260,student,active
20262020002,202500729,student,active
20262020002,V00147979,student,active
20262020002,V00150830,student,active
20262020002,V00152013,student,active
20262020002,V00152118,student,active
20262020002,V00152324,student,active
20262020002,V00152377,student,active
20262020002,V00152398,student,active
20262020002,199900136,teacher,active
20262020003,202401098,student,active
20262020003,202401391,student,active
20262020003,V00148426,student,active
20262020003,V00149647,student,active
20262020003,V00150302,student,active
20262020003,V00150416,student,active
20262020003,V00150586,student,active
20262020003,V00150820,student,active
20262020003,V00150851,student,active
20262020003,V00152013,student,active
20262020003,V00152324,student,active
20262020003,199900136,teacher,active
20262020004,202103092,student,active
20262020004,202300396,student,active
20262020004,202301777,student,active
20262020004,202312872,student,active
20262020004,202313696,student,active
20262020004,202401892,student,active
20262020004,202402910,student,active
20262020004,202404532,student,active
20262020004,202500707,student,active
20262020004,202500744,student,active
20262020004,V00147979,student,active
20262020004,V00148339,student,active
20262020004,V00149406,student,active
20262020004,V00150822,student,active
20262020004,V00151132,student,active
20262020004,199900136,teacher,active
20262020005,202301538,student,active
20262020005,202314265,student,active
20262020005,V00148072,student,active
20262020005,V00150049,student,active
20262020005,V00150830,student,active
20262020005,V00152118,student,active
20262020005,V00152180,student,active
20262020005,V00152269,student,active
20262020005,V00152521,student,active
20262020005,202202713,teacher,active
20262020006,202314203,student,active
20262020006,202314529,student,active
20262020006,202315532,student,active
20262020006,202400435,student,active
20262020006,202400923,student,active
20262020006,V00148992,student,active
20262020006,V00149246,student,active
20262020006,V00150079,student,active
20262020006,V00150520,student,active
20262020006,V00150522,student,active
20262020006,V00150592,student,active
20262020006,V00152377,student,active
20262020006,200500823,teacher,active
20262020007,200403063,student,active
20262020007,202315646,student,active
20262020007,202400921,student,active
20262020007,202500782,student,active
20262020007,202500799,student,active
20262020007,V00148891,student,active
20262020007,V00149388,student,active
20262020007,V00149797,student,active
20262020007,V00150737,student,active
20262020007,V00150836,student,active
20262020007,V00151158,student,active
20262020007,V00152085,student,active
20262020007,V00152210,student,active
20262020007,V00152398,student,active
20262020007,V00152440,student,active
20262020007,200500823,teacher,active
20262020008,201906441,student,active
20262020008,202103674,student,active
20262020008,202201311,student,active
20262020008,202201962,student,active
20262020008,202313023,student,active
20262020008,202314712,student,active
20262020008,202401122,student,active
20262020008,202401845,student,active
20262020008,202500260,student,active
20262020008,202500270,student,active
20262020008,202500614,student,active
20262020008,202500729,student,active
20262020008,V00147940,student,active
20262020008,V00148203,student,active
20262020008,V00148245,student,active
20262020008,V00148306,student,active
20262020008,V00152190,student,active
20262020008,200500823,teacher,active
20262020009,202300932,student,active
20262020009,202312601,student,active
20262020009,202401376,student,active
20262020009,202401519,student,active
20262020009,202402961,student,active
20262020009,202404327,student,active
20262020009,202404501,student,active
20262020009,202404522,student,active
20262020009,202404524,student,active
20262020009,202404545,student,active
20262020009,202500568,student,active
20262020009,202500834,student,active
20262020009,V00147916,student,deleted
20262020009,V00147977,student,active
20262020009,V00148172,student,active
20262020009,V00148381,student,active
20262020009,V00150819,student,active
20262020009,V00151688,student,active
20262020009,202403688,teacher,active
20262020010,202004707,student,active
20262020010,202103741,student,active
